Año,Mes,Dia,Presidente,Sacos de cafe producidos,Sacos de cafe exportados,Valor exportacion (Dolares),Kilos de cafe producidos,Factor de rendimiento,Kilos de cafe pergamino,Carga de cafe,Precio interno diario,Valor cosecha (Pesos)
3,ene,jue-02-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,277.000,5.383.951.356
3,ene,vie-03-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,280.875,5.459.268.365
3,ene,sáb-04-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,280.875,5.459.268.365
3,ene,dom-05-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,280.875,5.459.268.365
3,ene,lun-06-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,281.500,5.471.416.270
3,ene,mar-07-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,294.875,5.731.381.430
3,ene,mié-08-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,317.375,6.168.705.998
3,ene,jue-09-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,319.125,6.202.720.131
3,ene,vie-10-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,331.375,6.440.819.063
3,ene,sáb-11-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,331.375,6.440.819.063
3,ene,dom-12-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,331.375,6.440.819.063
3,ene,lun-13-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,330.875,6.431.100.740
3,ene,mar-14-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,331.750,6.448.107.806
3,ene,mié-15-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,337.625,6.562.298.110
3,ene,jue-16-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,337.500,6.559.868.529
3,ene,vie-17-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,337.750,6.564.727.691
3,ene,sáb-18-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,337.750,6.564.727.691
3,ene,dom-19-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,337.750,6.564.727.691
3,ene,lun-20-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,333.625,6.484.551.520
3,ene,mar-21-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,336.000,6.530.713.558
3,ene,mié-22-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,346.625,6.737.227.938
3,ene,jue-23-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,345.875,6.722.650.452
3,ene,vie-24-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,344.000,6.686.206.738
3,ene,sáb-25-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,344.000,6.686.206.738
3,ene,dom-26-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,344.000,6.686.206.738
3,ene,lun-27-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,334.250,6.496.699.425
3,ene,mar-28-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,336.125,6.533.143.139
3,ene,mié-29-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,323.750,6.292.614.626
3,ene,jue-30-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,319.750,6.214.868.036
3,ene,vie-31-ene-03,Alvaro Uribe (P1),30.800,25.167,2.233.333,1.848.000,"76,06250%",2.429.581,19.437,329.500,6.404.375.349
3,feb,sáb-01-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,329.500,5.851.864.303
3,feb,dom-02-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,329.500,5.851.864.303
3,feb,lun-03-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,334.125,5.934.003.522
3,feb,mar-04-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,332.500,5.905.143.796
3,feb,mié-05-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,326.375,5.796.364.832
3,feb,jue-06-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,330.000,5.860.744.219
3,feb,vie-07-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,334.625,5.942.883.437
3,feb,sáb-08-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,334.625,5.942.883.437
3,feb,dom-09-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,334.625,5.942.883.437
3,feb,lun-10-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,340.125,6.040.562.507
3,feb,mar-11-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,336.625,5.978.403.099
3,feb,mié-12-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,331.500,5.887.383.965
3,feb,jue-13-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,311.500,5.532.187.346
3,feb,vie-14-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,317.500,5.638.746.332
3,feb,sáb-15-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,317.500,5.638.746.332
3,feb,dom-16-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,317.500,5.638.746.332
3,feb,lun-17-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,315.375,5.601.006.691
3,feb,mar-18-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,318.750,5.660.946.120
3,feb,mié-19-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,316.000,5.612.106.585
3,feb,jue-20-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,318.000,5.647.626.247
3,feb,vie-21-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,317.875,5.645.406.268
3,feb,sáb-22-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,317.875,5.645.406.268
3,feb,dom-23-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,317.875,5.645.406.268
3,feb,lun-24-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,310.875,5.521.087.452
3,feb,mar-25-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,303.000,5.381.228.783
3,feb,mié-26-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,299.250,5.314.629.417
3,feb,jue-27-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,300.375,5.334.609.226
3,feb,vie-28-feb-03,Alvaro Uribe (P1),28.143,31.929,2.821.429,1.688.571,"76,06250%",2.219.979,17.760,291.750,5.181.430.684
3,mar,sáb-01-mar-03,Alvaro Uribe (P1),20.774,23.355,2.096.774,1.246.452,"76,06250%",1.638.720,13.110,291.750,3.824.773.133
3,mar,dom-02-mar-03,Alvaro Uribe (P1),20.774,23.355,2.096.774,1.246.452,"76,06250%",1.638.720,13.110,291.750,3.824.773.133
3,mar,lun-03-mar-03,Alvaro Uribe (P1),20.774,23.355,2.096.774,1.246.452,"76,06250%",1.638.720,13.110,297.500,3.900.154.266
3,mar,mar-04-mar-03,Alvaro Uribe (P1),20.774,23.355,2.096.774,1.246.452,"76,06250%",1.638.720,13.110,293.250,3.844.437.777
3,mar,mié-05-mar-03,Alvaro Uribe (P1),20.774,23.355,2.096.774,1.246.452,"76,06250%",1.638.720,13.110,293.250,3.844.437.777
3,mar,jue-06-mar-03,Alvaro Uribe (P1),20.774,23.355,2.096.774,1.246.452,"76,06250%",1.638.720,13.110,294.250,3.857.547.539
3,mar,vie-07-mar-03,Alvaro Uribe (P1),20.774,23.355,2.096.774,1.246.452,"76,06250%",1.638.720,13.110,300.125,3.934.567.392
